time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-27 00:00:00+00:00,0,0,0,0
2026-08-28 00:00:00+00:00,0,0,0,0
2026-08-29 00:00:00+00:00,0,0,0,0
2026-08-30 00:00:00+00:00,0,0,0,0
2026-08-31 00:00:00+00:00,0,0,0,0
2026-09-01 00:00:00+00:00,0,0,0,0
2026-09-02 00:00:00+00:00,0,0,0,0
2026-09-03 00:00:00+00:00,137,1,0,0
2026-09-04 00:00:00+00:00,242,18,42,2
2026-09-05 00:00:00+00:00,3,3,0,0
2026-09-06 00:00:00+00:00,85,17,0,0
2026-09-07 00:00:00+00:00,45,4,2,1
2026-09-08 00:00:00+00:00,2,1,1,1
2026-09-09 00:00:00+00:00,1,1,0,0
